program_id,program_name,department,district,start_date,budget_allocated,beneficiaries,completion_rate,budget_utilization,satisfaction_score,social_engagement,sentiment_score,reach_rate,cost_per_beneficiary,roi_score,effectiveness_score,impact_category,implementation_status,risk_level,strategic_recommendation,budget_efficiency_score,beneficiary_scale,satisfaction_category,budget_tier,program_age_days,program_maturity
PRG-00016,Digital Literacy Program,DISKOMINFO,Bumiaji,2025-11-30,3283290795,26605,93.62,84.72,3.63,126117,0.386,72.48,123408.79,80.35,80.35,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,94.84183191690273,Large Scale,Moderate,Tier 2,163,Early Stage
PRG-00017,Agricultural Innovation,Dinas Pertanian,Bumiaji,2024-06-24,1551454923,7276,85.55,90.61,4.1,120101,0.391,72.07,213229.1,81.14,81.14,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,89.548614943163,Medium Scale,High,Tier 1,687,Established
PRG-00018,Environmental Sustainability,Dinas Lingkungan Hidup,Junrejo,2024-10-03,2892080953,1163,78.53,86.39,4.32,69840,0.284,75.8,2486742.01,79.71,79.71,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,92.26762356754253,Small Scale,High,Tier 2,586,Established
PRG-00019,Healthcare Outreach,Dinas Kesehatan,Batu,2024-08-22,4029615275,39853,58.97,87.73,4.13,113181,1.0,76.8,101111.97,76.88,76.88,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,87.63250883392224,Large Scale,High,Tier 2,628,Established
PRG-00020,Healthcare Outreach,Dinas Kesehatan,Junrejo,2024-10-01,784277889,47217,79.1,87.65,3.46,158381,0.642,60.75,16610.07,74.52,74.52,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,85.01996577296063,Large Scale,Moderate,Tier 1,588,Established
PRG-00021,Agricultural Innovation,Dinas Pertanian,Bumiaji,2024-11-18,6939149233,33470,66.14,81.32,4.02,107081,0.8,86.8,207324.45,78.52,78.52,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,96.55681259222824,Large Scale,High,Tier 3,540,Established
PRG-00022,Environmental Sustainability,Dinas Lingkungan Hidup,Batu,2024-09-28,1099707677,15587,100.0,83.57,4.31,87202,0.877,91.1,70552.88,91.68,91.68,High Impact,Expanded,Low,Scale up program implementation.,109.70443939212639,Medium Scale,High,Tier 1,591,Established
PRG-00023,Youth Entrepreneurship,Dinas Koperasi,Bumiaji,2024-09-26,7301222128,7046,92.65,94.05,3.7,140752,0.383,64.21,1036222.27,80.18,80.18,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,85.25252525252526,Medium Scale,Moderate,Tier 3,593,Established
PRG-00024,Healthcare Outreach,Dinas Kesehatan,Batu,2024-05-21,6983366056,35653,100.0,92.82,4.61,40384,0.501,56.35,195870.36,85.75,85.75,High Impact,Expanded,Low,Scale up program implementation.,92.38310708898945,Large Scale,High,Tier 3,721,Established
PRG-00025,Digital UMKM Empowerment,Dinas Koperasi,Batu,2024-04-22,9746383071,30806,74.49,82.78,4.11,112472,0.544,73.13,316379.38,77.65,77.65,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,93.80285093017638,Large Scale,High,Tier 4,750,Mature
PRG-00026,Public WiFi Expansion,DISKOMINFO,Bumiaji,2025-03-08,3061557300,21432,79.53,90.6,4.53,175088,0.691,62.03,142849.82,80.96,80.96,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,89.3598233995585,Large Scale,High,Tier 2,430,Established
PRG-00027,Education Assistance,Dinas Pendidikan,Junrejo,2025-09-02,9073276057,1654,78.57,98.65,4.57,127063,0.897,82.4,5485656.62,87.18,87.18,High Impact,Completed,Low,Scale up program implementation.,88.37303598580841,Small Scale,High,Tier 4,252,Growing
PRG-00028,Youth Entrepreneurship,Dinas Koperasi,Junrejo,2025-07-20,9139245200,47440,73.43,78.15,3.5,78505,0.712,97.88,192648.51,79.38,79.38,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,101.57389635316697,Large Scale,Moderate,Tier 4,296,Growing
PRG-00029,Digital UMKM Empowerment,Dinas Koperasi,Bumiaji,2025-07-03,8019962896,47260,66.04,87.75,4.84,87416,0.266,84.27,169698.75,80.35,80.35,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,91.56695156695156,Large Scale,High,Tier 4,313,Growing
PRG-00030,Healthcare Outreach,Dinas Kesehatan,Batu,2024-10-27,2367302554,42414,59.36,74.3,3.68,138965,0.529,78.89,55814.18,70.75,70.75,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,95.22207267833109,Large Scale,Moderate,Tier 1,562,Established
PRG-00031,Environmental Sustainability,Dinas Lingkungan Hidup,Batu,2024-09-26,3772602734,9254,85.32,96.27,4.11,171862,0.813,56.9,407672.65,81.02,81.02,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,84.15913576399709,Medium Scale,High,Tier 2,593,Established
PRG-00032,Youth Entrepreneurship,Dinas Koperasi,Batu,2025-10-02,3115507143,41264,81.59,100.0,4.08,110616,0.004,74.35,75501.82,79.78,79.78,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,79.78,Large Scale,High,Tier 2,222,Growing
PRG-00033,Public WiFi Expansion,DISKOMINFO,Junrejo,2024-06-14,9092390865,44025,80.51,95.4,3.85,116668,0.644,68.86,206527.9,79.71,79.71,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,83.55345911949684,Large Scale,Moderate,Tier 4,697,Established
PRG-00034,Healthcare Outreach,Dinas Kesehatan,Junrejo,2024-01-20,8260038701,20278,72.24,90.14,3.41,155165,0.608,100.0,407339.91,80.3,80.3,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,89.0836476591968,Large Scale,Moderate,Tier 4,843,Mature
PRG-00035,Tourism Promotion Campaign,Dinas Pariwisata,Batu,2024-09-03,4567116918,37131,89.62,77.2,3.38,11729,0.262,83.37,123000.11,78.36,78.36,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,101.50259067357513,Large Scale,Moderate,Tier 2,616,Established
PRG-00036,Digital UMKM Empowerment,Dinas Koperasi,Bumiaji,2025-05-12,4004793184,41364,88.73,92.19,3.7,106510,0.676,68.94,96818.32,81.11,81.11,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,87.98134287883718,Large Scale,Moderate,Tier 2,365,Growing
PRG-00037,Youth Entrepreneurship,Dinas Koperasi,Batu,2024-05-11,7628575500,39254,89.88,73.64,3.45,78575,0.574,92.31,194338.81,81.59,81.59,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,110.79576317218903,Large Scale,Moderate,Tier 4,731,Mature
PRG-00038,Youth Entrepreneurship,Dinas Koperasi,Batu,2024-09-28,7400268326,26047,89.82,72.39,5.0,125862,0.44,69.98,284112.12,84.0,84.0,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,116.03812681309573,Large Scale,High,Tier 3,591,Established
PRG-00039,Tourism Promotion Campaign,Dinas Pariwisata,Bumiaji,2025-12-07,9953871839,23177,77.03,88.8,3.61,114632,0.366,69.88,429471.97,75.28,75.28,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,84.77477477477477,Large Scale,Moderate,Tier 4,156,Early Stage
PRG-00040,Digital Literacy Program,DISKOMINFO,Junrejo,2025-11-18,7586172302,49247,91.32,80.7,4.22,198484,0.356,58.63,154043.34,79.1,79.1,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,98.0173482032218,Large Scale,High,Tier 4,175,Early Stage
PRG-00041,Environmental Sustainability,Dinas Lingkungan Hidup,Bumiaji,2025-04-07,1019709079,15702,98.36,96.29,4.11,84613,0.561,76.39,64941.35,87.57,87.57,High Impact,Expanded,Low,Scale up program implementation.,90.94402326305949,Medium Scale,High,Tier 1,400,Established
PRG-00042,Tourism Promotion Campaign,Dinas Pariwisata,Batu,2024-12-12,9180276057,14598,76.17,80.07,4.04,91852,0.895,67.84,628872.18,78.09,78.09,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,97.52716373173475,Medium Scale,High,Tier 4,516,Established
PRG-00043,Youth Entrepreneurship,Dinas Koperasi,Batu,2025-08-25,1445826486,1581,80.61,96.32,3.92,21056,0.399,59.09,914501.26,77.07,77.07,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,80.01453488372093,Small Scale,Moderate,Tier 1,260,Growing
PRG-00044,Digital UMKM Empowerment,Dinas Koperasi,Bumiaji,2025-10-08,752860896,3843,93.01,100.0,4.22,17964,0.118,100.0,195904.47,89.62,89.62,High Impact,Completed,Low,Scale up program implementation.,89.62,Small Scale,High,Tier 1,216,Growing
PRG-00045,Digital UMKM Empowerment,Dinas Koperasi,Batu,2024-12-04,9394264595,20031,67.8,90.29,3.91,10435,0.246,84.66,468986.3,76.61,76.61,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,84.84882046738288,Large Scale,Moderate,Tier 4,524,Established
PRG-00046,Tourism Promotion Campaign,Dinas Pariwisata,Junrejo,2025-11-16,2584839399,30399,91.3,82.51,4.7,57573,-0.049,58.5,85030.41,79.74,79.74,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,96.64283117197914,Large Scale,High,Tier 1,177,Early Stage
PRG-00047,Youth Entrepreneurship,Dinas Koperasi,Batu,2025-08-07,7269777475,23549,82.02,95.56,5.0,28663,0.553,80.99,308708.54,87.9,87.9,High Impact,Completed,Low,Scale up program implementation.,91.98409376308079,Large Scale,High,Tier 3,278,Growing
PRG-00048,Tourism Promotion Campaign,Dinas Pariwisata,Junrejo,2025-02-20,1317804383,29668,74.8,91.44,4.61,198459,-0.024,97.21,44418.38,83.52,83.52,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,91.33858267716535,Large Scale,High,Tier 1,446,Established
PRG-00049,Digital UMKM Empowerment,Dinas Koperasi,Bumiaji,2025-03-17,6316663775,35695,84.72,85.29,4.35,39304,0.734,60.83,176962.15,80.77,80.77,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,94.70043381404618,Large Scale,High,Tier 3,421,Established
PRG-00050,Education Assistance,Dinas Pendidikan,Junrejo,2024-02-25,922701550,21264,89.1,83.14,4.21,26351,0.839,63.28,43392.66,82.12,82.12,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,98.77315371662257,Large Scale,High,Tier 1,807,Mature
PRG-00051,Education Assistance,Dinas Pendidikan,Bumiaji,2024-12-13,969306919,11761,74.93,96.5,4.3,158164,0.277,84.73,82417.05,81.76,81.76,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,84.72538860103627,Medium Scale,High,Tier 1,515,Established
PRG-00052,Tourism Promotion Campaign,Dinas Pariwisata,Batu,2025-07-03,2426780541,44925,81.06,100.0,3.07,115352,0.296,83.74,54018.49,77.89,77.89,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,77.89,Large Scale,Moderate,Tier 1,313,Growing
PRG-00053,Education Assistance,Dinas Pendidikan,Batu,2024-10-12,2486972437,5604,73.97,99.62,4.95,113856,0.34,68.6,443785.23,82.32,82.32,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,82.63400923509334,Medium Scale,High,Tier 1,577,Established
PRG-00054,Digital UMKM Empowerment,Dinas Koperasi,Junrejo,2025-07-17,920514789,45412,65.9,100.0,4.11,182589,0.303,73.53,20270.3,76.54,76.54,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,76.54,Large Scale,High,Tier 1,299,Growing
PRG-00055,Youth Entrepreneurship,Dinas Koperasi,Batu,2024-04-05,4145120421,14423,78.75,81.87,5.0,87900,0.716,81.03,287396.55,85.69,85.69,High Impact,Completed,Low,Scale up program implementation.,104.6659337974838,Medium Scale,High,Tier 2,767,Mature
PRG-00056,Public WiFi Expansion,DISKOMINFO,Junrejo,2025-05-12,2567418686,32167,72.34,99.58,4.54,61566,0.364,81.74,79815.3,82.49,82.49,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,82.83791926089576,Large Scale,High,Tier 1,365,Growing
PRG-00057,Education Assistance,Dinas Pendidikan,Batu,2024-06-17,2127677155,24744,73.61,87.91,2.95,39102,0.893,100.0,85987.6,79.49,79.49,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,90.42202252303491,Large Scale,Low,Tier 1,694,Established
PRG-00058,Education Assistance,Dinas Pendidikan,Junrejo,2025-04-10,6020103410,38114,86.85,92.13,3.79,176333,0.511,70.4,157949.92,80.46,80.46,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,87.3331162487789,Large Scale,Moderate,Tier 3,397,Established
PRG-00059,Youth Entrepreneurship,Dinas Koperasi,Bumiaji,2025-05-13,1164847319,39581,92.63,85.66,4.12,55693,0.156,95.32,29429.46,86.1,86.1,High Impact,Completed,Low,Scale up program implementation.,100.51365865047865,Large Scale,High,Tier 1,364,Growing
PRG-00060,Digital Literacy Program,DISKOMINFO,Batu,2024-02-29,2828710672,40762,76.27,80.82,3.98,27790,0.664,75.6,69395.78,78.36,78.36,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,96.95619896065331,Large Scale,Moderate,Tier 2,803,Mature
PRG-00061,Healthcare Outreach,Dinas Kesehatan,Batu,2024-02-21,7303990970,29210,62.96,83.78,4.89,31355,-0.029,97.07,250051.04,80.2,80.2,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,95.72690379565529,Large Scale,High,Tier 3,811,Mature
PRG-00062,Youth Entrepreneurship,Dinas Koperasi,Bumiaji,2024-06-10,2681106786,43456,91.25,82.6,3.32,29016,0.464,65.34,61697.04,76.75,76.75,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,92.91767554479419,Large Scale,Moderate,Tier 1,701,Established
PRG-00063,Public WiFi Expansion,DISKOMINFO,Batu,2025-09-01,9381824272,46696,82.84,97.84,4.36,115065,0.464,70.92,200912.8,82.83,82.83,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,84.65862632869991,Large Scale,High,Tier 4,253,Growing
PRG-00064,Tourism Promotion Campaign,Dinas Pariwisata,Junrejo,2024-05-02,2946737272,42856,75.33,79.03,4.94,173502,0.997,65.88,68759.04,82.31,82.31,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,104.15032266228015,Large Scale,High,Tier 2,740,Mature
PRG-00065,Agricultural Innovation,Dinas Pertanian,Bumiaji,2024-02-10,3160223333,30203,87.55,77.59,3.36,34307,0.31,49.31,104632.76,71.1,71.1,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,91.63552004124242,Large Scale,Moderate,Tier 2,822,Mature
PRG-00066,Education Assistance,Dinas Pendidikan,Bumiaji,2025-08-20,1619980130,36047,86.35,81.54,3.88,123402,0.635,100.0,44940.78,85.7,85.7,High Impact,Completed,Low,Scale up program implementation.,105.10179053225411,Large Scale,Moderate,Tier 1,265,Growing
PRG-00067,Healthcare Outreach,Dinas Kesehatan,Batu,2024-09-28,2199887270,509,96.15,83.31,3.16,21309,0.788,81.88,4321978.92,82.45,82.45,Moderate Impact,Expanded,Medium,Optimize delivery and improve stakeholder engagement.,98.96771095906854,Small Scale,Moderate,Tier 1,591,Established
PRG-00068,Digital Literacy Program,DISKOMINFO,Junrejo,2024-11-19,4518948187,20884,96.79,63.48,3.6,132456,0.536,100.0,216383.27,84.26,84.26,Moderate Impact,Expanded,Medium,Optimize delivery and improve stakeholder engagement.,132.7347195967234,Large Scale,Moderate,Tier 2,539,Established
PRG-00069,Smart City Initiative,DISKOMINFO,Junrejo,2025-09-28,4778201677,10360,82.06,88.47,3.85,188469,0.606,68.15,461216.38,78.81,78.81,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,89.08104442183792,Medium Scale,Moderate,Tier 2,226,Growing
PRG-00070,Digital UMKM Empowerment,Dinas Koperasi,Bumiaji,2024-08-06,6967725516,17600,72.65,91.33,3.96,177615,0.066,97.17,395893.5,80.05,80.05,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,87.64918427679842,Medium Scale,Moderate,Tier 3,644,Established
PRG-00071,Public WiFi Expansion,DISKOMINFO,Junrejo,2024-03-11,4276436931,7739,81.98,83.74,4.8,164121,0.427,80.55,552582.62,84.41,84.41,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,100.80009553379509,Medium Scale,High,Tier 2,792,Mature
PRG-00072,Healthcare Outreach,Dinas Kesehatan,Junrejo,2024-06-10,2771782991,41848,95.84,82.37,5.0,16254,0.611,98.53,66234.54,93.87,93.87,High Impact,Expanded,Low,Scale up program implementation.,113.96139371130265,Large Scale,High,Tier 1,701,Established
PRG-00073,Youth Entrepreneurship,Dinas Koperasi,Junrejo,2025-11-10,4271526597,37941,84.44,88.5,4.99,26934,0.768,91.29,112583.4,90.64,90.64,High Impact,Completed,Low,Scale up program implementation.,102.4180790960452,Large Scale,High,Tier 2,183,Growing
PRG-00074,Digital Literacy Program,DISKOMINFO,Batu,2024-04-19,5462610986,18215,80.36,67.71,5.0,43318,0.857,57.3,299896.29,80.01,80.01,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,118.16570669029687,Medium Scale,High,Tier 3,753,Mature
PRG-00075,Digital Literacy Program,DISKOMINFO,Bumiaji,2024-08-03,7877088167,43588,81.82,95.96,3.95,74477,0.034,46.99,180716.9,73.23,73.23,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,76.31304710295957,Large Scale,Moderate,Tier 4,647,Established
PRG-00076,Tourism Promotion Campaign,Dinas Pariwisata,Bumiaji,2025-10-11,8458199946,37086,80.93,69.81,4.6,138326,0.175,85.32,228069.89,80.7,80.7,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,115.5994843145681,Large Scale,High,Tier 4,213,Growing
PRG-00077,Youth Entrepreneurship,Dinas Koperasi,Junrejo,2024-09-14,4133987776,43179,93.97,85.65,4.36,29732,0.454,70.05,95740.7,84.1,84.1,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,98.1903093987157,Large Scale,High,Tier 2,605,Established
PRG-00078,Digital UMKM Empowerment,Dinas Koperasi,Bumiaji,2025-03-09,8356990236,37168,72.49,88.51,3.83,105680,0.647,73.69,224843.69,77.15,77.15,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,87.16529205739465,Large Scale,Moderate,Tier 4,429,Established
PRG-00079,Smart City Initiative,DISKOMINFO,Batu,2024-12-07,3811931853,43428,100.0,88.35,3.72,187717,0.503,72.31,87775.9,83.81,83.81,Moderate Impact,Expanded,Medium,Optimize delivery and improve stakeholder engagement.,94.8613469156763,Large Scale,Moderate,Tier 2,521,Established
PRG-00080,Digital Literacy Program,DISKOMINFO,Batu,2025-03-28,541531046,4932,69.29,96.51,3.76,128600,0.495,78.53,109799.48,77.24,77.24,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,80.03315718578385,Small Scale,Moderate,Tier 1,410,Established
PRG-00081,Digital UMKM Empowerment,Dinas Koperasi,Bumiaji,2024-06-01,2843292475,802,78.7,64.98,3.27,45247,0.792,74.21,3545252.46,73.49,73.49,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,113.09633733456447,Small Scale,Moderate,Tier 2,710,Established
PRG-00082,Healthcare Outreach,Dinas Kesehatan,Bumiaji,2025-07-19,5431025271,15534,83.53,96.51,3.56,19030,0.568,87.77,349621.81,82.71,82.71,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,85.70096363071183,Medium Scale,Moderate,Tier 3,297,Growing
PRG-00083,Public WiFi Expansion,DISKOMINFO,Batu,2024-11-11,2036778950,2031,80.46,78.44,3.22,74688,0.501,66.43,1002845.37,72.78,72.78,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,92.78429372768996,Small Scale,Moderate,Tier 1,547,Established
PRG-00084,Tourism Promotion Campaign,Dinas Pariwisata,Bumiaji,2024-04-15,8551829827,1562,88.91,77.39,3.74,188865,0.06,81.1,5474923.06,78.5,78.5,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,101.43429383641296,Small Scale,Moderate,Tier 4,757,Mature
PRG-00085,Agricultural Innovation,Dinas Pertanian,Bumiaji,2024-06-07,2270791023,4096,100.0,96.82,4.1,27734,0.82,100.0,554392.34,94.1,94.1,High Impact,Expanded,Low,Scale up program implementation.,97.19066308613922,Small Scale,High,Tier 1,704,Established
PRG-00086,Public WiFi Expansion,DISKOMINFO,Bumiaji,2024-12-06,5860837474,13410,88.67,83.59,4.97,73274,0.069,60.96,437049.77,81.53,81.53,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,97.53559038162459,Medium Scale,High,Tier 3,522,Established
PRG-00087,Public WiFi Expansion,DISKOMINFO,Bumiaji,2024-04-20,2521598245,19623,93.11,100.0,3.33,159357,0.591,68.74,128502.18,81.29,81.29,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,81.29,Medium Scale,Moderate,Tier 1,752,Mature
PRG-00088,Tourism Promotion Campaign,Dinas Pariwisata,Junrejo,2024-12-24,1477515194,7267,66.89,84.18,3.87,77125,0.462,65.54,203318.45,72.48,72.48,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,86.10121168923735,Medium Scale,Moderate,Tier 1,504,Established
PRG-00089,Smart City Initiative,DISKOMINFO,Bumiaji,2024-07-16,6506365648,4824,86.68,87.15,4.23,126808,0.518,100.0,1348749.1,87.82,87.82,High Impact,Completed,Low,Scale up program implementation.,100.76878944348823,Small Scale,High,Tier 3,665,Established
PRG-00090,Digital Literacy Program,DISKOMINFO,Batu,2024-10-12,6982848011,38828,81.11,90.86,5.0,47514,0.342,85.42,179840.53,86.76,86.76,High Impact,Completed,Low,Scale up program implementation.,95.48756328417346,Large Scale,High,Tier 3,577,Established
PRG-00091,Youth Entrepreneurship,Dinas Koperasi,Junrejo,2024-01-29,8962806178,30605,72.84,69.95,3.2,128534,0.462,92.81,292854.31,74.24,74.24,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,106.13295210864902,Large Scale,Moderate,Tier 4,834,Mature
PRG-00092,Public WiFi Expansion,DISKOMINFO,Bumiaji,2024-09-28,664313410,43033,91.17,76.61,4.25,106292,0.287,78.71,15437.3,82.26,82.26,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,107.37501631640778,Large Scale,High,Tier 1,591,Established
